label,label_noisy,city,ground_elevation_m,pressure_hpa,pressure_delta_hpa,pressure_variance,altitude_change_m,pressure_relative_to_surface_hpa,mag_variance_total,magnetic_field_mean,magnetic_field_delta,gnss_accuracy_m,gps_accuracy_delta,gps_lost_ratio,time_of_day,weather_condition
street_level,False,LIS,12.3,1010.26,-0.017,0.028739,-0.005,-1.524827997765783,0.02835,37.2643,5.7508,7.72,1.41,0.024,afternoon,overcast
street_level,False,LIS,10.4,1010.498,-0.0953,0.016985,-1.724,-1.5130169441997623,0.121181,47.3064,-5.307,3.37,1.7,0.008,morning,overcast
street_level,False,OPO,153.8,995.405,-0.0529,0.019931,1.568,0.3239930533759434,0.024989,38.9361,-0.0042,7.57,3.83,0.027,evening,overcast
above,False,OPO,54.7,1006.365,0.1398,0.053478,7.309,-0.3853741679764653,0.193807,61.8504,-0.3606,8.26,17.03,0.065,night,clear
above,False,OPO,117.6,997.336,0.1616,0.033733,1.056,-1.9919183567441223,0.380433,54.6441,1.2294,21.22,18.8,0.059,morning,rain
street_level,False,LIS,106.1,1001.158,0.0387,0.008866,0.367,0.4771347312961325,0.01577,40.8852,-0.4034,5.33,3.86,0.005,afternoon,rain
street_level,False,LIS,10.1,1013.539,-0.176,0.030459,0.632,1.492264389582374,0.080332,45.5952,0.2214,6.94,0.68,0.048,night,overcast
underground,False,OPO,9.5,1013.389,-0.0458,0.120221,-3.149,1.270823275059115,0.914251,168.0696,17.8671,177.99,76.11,0.873,morning,clear
above,False,LIS,24.7,1006.829,-0.2621,0.037364,8.252,-3.480888583717956,0.166587,36.5052,-4.0858,20.79,6.96,0.23,afternoon,rain
street_level,False,LIS,90.8,1002.368,-0.2379,0.019927,-0.883,-0.1157129022889194,0.01944,61.5337,3.7637,7.21,3.75,0.036,evening,clear
street_level,False,OPO,12.5,1011.489,-0.1541,0.018946,-1.597,-0.2720215760070914,0.042797,49.1421,-0.6087,9.47,1.99,0.014,evening,clear
underground,False,OPO,26.2,1013.328,-0.0247,0.15686,-4.363,3.1963856660768215,0.507752,83.8388,10.4945,117.77,12.78,0.993,morning,rain
street_level,True,LIS,72.6,1002.746,-0.0811,0.073286,4.011,-1.8865070933309198,0.003464,41.7948,2.9356,45.38,11.48,0.365,afternoon,rain
above,False,LIS,102.8,998.755,-0.015,0.088665,3.034,-2.314440323143913,0.107942,46.2121,-7.488,16.59,15.82,0.3,afternoon,clear
street_level,False,OPO,15.4,1013.793,-0.2789,0.01652,1.024,2.3771085999175057,0.041347,30.3349,4.2678,3.2,4.1,0.037,night,clear
street_level,False,OPO,0.2,1012.077,-0.0307,0.033167,0.577,-1.1491591040115736,0.062664,37.5923,-0.7904,25.19,10.09,0.069,afternoon,clear
underground,False,LIS,40.7,1009.158,-0.1783,0.119474,-4.884,0.7480824375310249,0.28479,81.0577,4.0507,59.81,42.91,0.963,evening,overcast
street_level,False,LIS,34.3,1008.677,-0.2863,0.022756,-2.774,-0.49247682800250914,0.008419,37.4095,-1.9509,6.05,1.85,0.038,afternoon,clear
underground,False,OPO,81.3,1004.469,-0.2322,0.051413,-4.392,0.8642377724219159,0.936934,166.0508,2.0711,195.18,42.61,0.915,morning,clear
street_level,False,OPO,119.2,997.491,-0.1584,0.002655,-0.441,-1.6488272753576894,0.099919,31.1777,0.7063,9.26,0.87,0.025,afternoon,rain
underground,False,OPO,70.7,1005.201,0.1715,0.077766,-5.019,0.3439028930171162,1.117354,122.5748,25.8991,141.64,42.13,0.934,night,clear
street_level,False,LIS,10.8,1010.614,-0.0893,0.012679,3.374,-1.3493940168917788,0.028999,48.4537,-4.9163,24.64,8.62,0.063,morning,overcast
street_level,False,LIS,83.0,1003.995,0.1373,0.003819,-0.778,0.5909386541102322,0.043415,41.4691,3.4737,3.46,2.77,0.0,afternoon,clear
underground,False,OPO,107.1,1001.948,0.0939,0.089729,-4.798,1.3848549670603916,0.360803,84.1089,-1.2302,114.08,43.47,0.97,afternoon,clear
underground,False,LIS,27.8,1010.962,-0.1066,0.10382,-0.562,1.020510192964025,0.068883,104.4149,-4.5643,40.75,70.44,0.849,morning,clear
street_level,False,OPO,59.7,1006.921,-0.2465,0.018692,-0.318,0.7626577903573661,0.074855,,-4.4529,2.13,4.21,0.013,afternoon,overcast
street_level,False,LIS,3.2,1012.074,-0.22,0.024949,-2.638,-0.7946129714746348,0.026684,50.6983,-8.8593,8.95,2.62,0.013,morning,overcast
underground,False,OPO,28.9,1010.897,-0.1405,0.041585,-2.548,1.0862000468249562,0.204237,104.8218,1.7272,136.89,58.76,0.9,evening,clear
street_level,False,OPO,32.5,1009.633,0.3539,0.023667,1.689,0.24979406520958491,0.005621,40.5489,1.3269,11.41,3.74,0.08,evening,rain
underground,False,OPO,23.5,1011.538,-0.2693,0.101649,-2.265,1.0854693633976922,0.21341,121.4459,-11.7933,188.62,79.66,0.817,night,overcast
above,False,LIS,17.7,1008.466,0.069,0.079447,2.302,-2.676251182461556,0.020194,57.7656,-7.2755,3.18,8.12,0.299,morning,clear
underground,False,LIS,79.2,1003.414,-0.183,0.109382,-2.056,-0.43874227099013297,0.178941,80.0313,7.1817,129.36,66.88,0.865,evening,rain
street_level,False,LIS,74.5,1004.203,-0.045,0.037089,-0.891,-0.20496727654222013,0.051013,43.6955,1.4153,19.81,11.82,0.004,morning,clear
street_level,False,OPO,7.0,1013.155,0.0963,0.022361,-1.045,0.7390976773452849,0.006858,29.2405,1.199,8.29,0.74,0.024,evening,overcast
above,False,LIS,3.4,1012.174,-0.0478,0.046369,4.478,-0.6707810491931241,0.064618,53.8549,0.1503,-0.35,7.18,0.31,evening,clear
underground,False,OPO,9.8,1012.196,-0.2428,0.037216,-0.936,0.11354446268342144,1.195897,105.402,-3.5532,123.67,59.03,0.844,afternoon,clear
street_level,False,OPO,140.3,998.278,0.1457,0.035085,-0.03,1.6153145713235517,0.060509,48.8612,-0.9775,1.59,2.7,0.012,evening,rain
above,False,OPO,96.4,999.432,0.0692,0.053858,3.139,-2.39147055985336,0.151206,55.5405,2.4471,12.46,11.55,0.31,morning,clear
street_level,False,LIS,56.1,1005.118,0.0678,0.002671,-1.196,-1.46657011411628,0.034971,41.8799,-3.8034,23.48,3.46,0.014,afternoon,clear
above,False,LIS,1.6,1010.875,-0.0341,0.006885,7.336,-2.184288538112469,0.078174,45.8774,2.7069,17.73,3.18,0.172,night,clear
street_level,False,LIS,111.3,1000.759,-0.0763,0.013895,1.757,0.6901287492622714,0.013047,44.9145,1.6869,8.82,8.81,0.039,morning,overcast
street_level,False,LIS,29.6,1006.141,-0.0142,0.018061,0.217,-3.5866424879451415,0.055516,50.8838,0.8793,4.65,2.06,0.0,evening,clear
underground,False,LIS,4.9,1014.915,-0.0679,0.086804,-5.606,2.248940495097827,0.369909,64.52,-10.4078,172.82,59.76,0.804,evening,overcast
underground,False,LIS,11.2,1013.585,-0.0493,0.069564,-1.466,1.6692266693900137,0.622859,118.5225,4.63,118.46,57.56,1.0,afternoon,clear
street_level,False,LIS,16.0,1011.635,-0.358,0.013117,0.393,0.29050014310871575,0.109202,31.6394,-1.6106,3.49,3.05,0.02,afternoon,clear
street_level,False,LIS,50.0,1004.067,-0.1447,0.004723,1.566,-3.240201836567053,0.06832,53.4937,-3.0447,23.66,4.49,0.129,evening,clear
underground,False,OPO,19.5,1011.607,-0.238,0.019284,-2.332,0.6788503885870796,0.000922,104.733,4.2221,149.75,32.38,0.916,morning,overcast
street_level,False,OPO,35.9,1009.038,-0.0258,0.050177,-0.002,0.05846660769270784,0.077252,70.5129,-0.8793,6.97,3.5,0.0,evening,overcast
underground,False,LIS,16.7,1012.399,-0.2062,0.057039,-1.564,1.1377839078359102,0.329026,110.9749,5.1928,153.77,46.43,0.902,afternoon,clear
underground,False,OPO,18.9,1012.499,0.1597,0.067606,-1.748,1.4994882358623727,0.486914,108.0319,-15.3987,61.84,69.02,0.838,evening,overcast
street_level,False,LIS,12.4,1010.655,-0.2168,0.003753,-1.005,-1.117924716867492,0.079065,37.342,-1.2973,8.21,1.56,0.015,afternoon,overcast
street_level,False,LIS,92.4,1001.165,0.1754,0.017519,2.675,-1.1300278448934478,0.028558,44.3249,1.2178,5.57,1.17,0.03,afternoon,clear
street_level,False,OPO,19.8,1011.547,-0.1427,0.012619,-1.201,0.6545295759957526,0.063056,40.2914,0.1067,8.66,0.45,0.008,evening,clear
underground,False,OPO,15.1,1010.02,-0.1036,0.096418,-1.65,-1.4315890614986984,0.802604,175.7472,7.7412,169.91,34.47,0.882,evening,clear
street_level,False,OPO,1.1,1014.443,0.1065,0.013122,-1.694,1.3241179863002799,0.062953,36.0847,3.0707,6.9,3.39,0.022,evening,clear
above,False,OPO,70.6,,0.032,0.002178,4.103,,0.015222,49.4338,7.549,22.94,7.43,0.138,afternoon,rain
street_level,False,OPO,13.4,1011.825,-0.1812,0.008496,1.268,0.1711003903085384,0.016916,35.0031,-2.3917,7.58,0.47,0.023,night,clear
above,False,LIS,15.4,1008.147,0.0657,0.014978,2.867,-3.2688914000824525,0.109825,61.2118,6.2694,22.82,11.87,0.285,afternoon,clear
street_level,False,OPO,22.6,1011.07,0.3669,0.008018,-0.527,0.510474607590254,0.049573,34.0595,-0.9965,20.68,11.72,0.008,afternoon,overcast
street_level,False,LIS,96.7,1001.845,0.2261,0.054834,1.003,0.056887291612383706,0.064123,41.7592,-0.1379,8.17,1.6,0.05,afternoon,clear
underground,False,LIS,111.8,1000.478,-0.0891,0.128613,-4.97,0.46795459973498055,1.103612,106.6785,-6.4484,201.23,54.11,0.802,morning,overcast
street_level,False,LIS,18.5,1010.159,0.1972,0.001757,0.262,-0.8880893312134504,0.075043,42.0323,5.3631,9.12,1.36,0.012,afternoon,clear
street_level,False,OPO,30.6,1008.745,0.1923,0.009244,0.884,-0.863857988053951,0.014087,41.7448,2.6185,3.21,0.56,0.007,morning,rain
underground,False,OPO,57.2,1007.028,-0.1444,0.040132,-4.538,0.5736853429517623,0.264091,110.3729,-0.4951,66.29,28.82,0.984,morning,clear
street_level,False,OPO,37.6,1008.381,-0.0032,0.00609,0.166,-0.3967576638742685,0.052478,36.4407,-0.7332,6.87,0.78,0.014,afternoon,clear
street_level,False,OPO,30.9,1011.227,0.0946,0.000507,-2.565,1.6537746369425577,0.06892,45.466,2.0111,26.26,12.09,0.148,morning,rain
underground,False,LIS,10.0,1010.569,-0.1987,0.031071,-1.199,-1.4896421126393307,0.268731,81.854,-18.544,92.28,41.07,0.82,evening,overcast
above,False,LIS,9.3,1008.105,0.1009,0.098974,10.213,-4.036991550448988,0.000818,41.1364,3.4039,24.64,,0.156,evening,overcast
street_level,False,LIS,9.7,1013.303,,0.019889,1.661,1.2086375402247995,0.086537,55.2424,-3.3656,24.62,9.26,0.086,afternoon,clear
street_level,False,OPO,2.7,1015.642,-0.3059,0.003415,0.661,2.7138047694778606,0.03421,49.0729,-5.6877,,2.47,0.012,morning,rain
street_level,False,LIS,17.9,1011.054,-0.1246,0.020181,-0.548,-0.06445987997960856,0.068424,42.8247,2.045,3.06,4.17,0.017,evening,clear
street_level,False,OPO,57.0,1005.515,-0.1443,0.005389,1.208,-0.9629962136456243,0.028757,40.6935,0.7559,3.45,4.33,0.015,evening,overcast
underground,False,OPO,75.3,1004.225,0.1289,0.094357,-1.665,-0.08843921042432612,0.440954,63.7766,-4.9429,179.44,46.08,0.949,night,clear
street_level,False,LIS,17.7,1010.413,-0.265,0.013295,0.201,-0.7292511824615531,0.024702,54.0712,0.9853,8.25,0.16,0.022,night,rain
street_level,True,OPO,109.7,996.213,0.1849,0.030493,5.381,-4.044137227450392,0.036878,41.9627,11.1103,49.17,11.24,0.346,afternoon,clear
street_level,False,OPO,1.0,1011.788,-0.0973,0.049623,-0.353,-1.3428011294828366,0.05481,54.9047,-1.3019,5.65,3.88,0.007,afternoon,rain
above,False,LIS,80.9,1001.137,-0.1472,0.014821,3.204,-2.514991798252481,0.101492,40.8104,5.1304,19.12,18.05,0.154,evening,clear
street_level,False,OPO,124.8,1000.561,0.2855,0.031811,0.857,2.0792127620920837,0.075448,47.3694,3.247,,3.71,0.035,afternoon,clear
underground,False,OPO,150.0,997.524,-0.2365,0.079184,-3.82,1.9980338550369652,0.505747,51.6342,-12.2427,176.26,48.38,0.948,night,clear
underground,False,LIS,68.9,1007.528,-0.2587,0.096159,-1.64,2.45808709275218,0.24351,73.1606,-6.6425,133.26,45.04,0.985,evening,overcast
street_level,False,LIS,28.0,1011.777,0.0235,0.035193,0.526,1.8592732425696568,0.074741,59.3037,2.3014,8.1,1.72,0.044,afternoon,rain
underground,False,LIS,26.3,1010.728,-0.2297,0.117625,-2.566,0.6082694975168579,0.199346,68.1525,-12.1345,83.11,76.65,0.982,afternoon,rain
street_level,False,OPO,41.7,1007.356,-0.2959,0.021082,-0.587,-0.9352880799210652,0.054776,41.2901,-1.4087,6.95,2.17,0.034,evening,overcast
street_level,False,LIS,30.1,1008.182,-0.1836,0.030006,-0.935,-1.486248491168567,0.044089,40.3198,1.8712,8.48,0.8,0.029,night,rain
street_level,False,LIS,6.0,1013.756,0.195,0.032197,1.277,1.2209829175177447,0.049946,32.2601,3.0588,5.4,-0.05,0.033,afternoon,clear
underground,False,OPO,20.2,1012.181,0.2536,0.002701,-3.519,1.3360998670590334,0.48641,117.3334,4.1316,120.63,38.42,0.82,afternoon,overcast
street_level,False,OPO,60.2,1006.017,-0.0183,0.021013,0.172,-0.08215816553092736,0.045271,41.5209,0.5389,4.88,3.12,0.033,morning,clear
street_level,False,LIS,1.6,1014.712,0.1558,0.018327,1.512,1.6527114618875203,0.036626,69.1113,1.4252,11.29,12.34,0.019,evening,clear
street_level,False,LIS,75.2,1003.946,-0.0223,0.019274,-0.288,-0.3792547321532993,0.087172,27.023,-3.4276,25.23,4.89,0.026,morning,rain
street_level,False,OPO,69.0,1004.054,-0.0742,0.0009,1.931,-1.0040886248860943,0.012123,45.8633,-0.7793,5.03,4.2,0.014,afternoon,clear
underground,False,LIS,6.0,1015.24,0.168,0.122206,-1.778,2.704982917517782,0.319859,64.9038,-14.2383,171.58,18.35,0.824,afternoon,clear
above,False,LIS,87.3,1000.968,-0.0638,0.07474,11.49,-1.9285853107934372,0.195235,62.3871,3.0972,9.05,12.55,0.207,morning,clear
street_level,False,OPO,29.2,1009.313,-0.0652,0.010501,0.402,-0.46216020094072974,0.097645,42.3028,-0.2285,22.87,14.28,0.024,afternoon,clear
street_level,False,LIS,16.7,1011.602,-0.0339,0.000938,-0.285,0.34078390783588475,0.053465,,-2.8156,19.08,12.39,0.054,evening,clear
underground,False,LIS,85.9,1002.393,-0.1766,0.023084,-3.559,-0.6687818818357982,0.326518,112.2728,7.2554,51.05,7.38,0.959,evening,clear
underground,False,LIS,112.4,1001.5,-0.0476,0.016845,-2.283,1.5605410528003176,0.311104,99.0356,11.3315,48.57,51.9,0.807,morning,clear
street_level,False,LIS,4.7,1013.63,0.0212,0.012643,-1.68,0.9401127780787419,0.032033,32.5002,7.6896,22.52,8.02,0.061,morning,overcast
street_level,False,LIS,81.9,1002.772,-0.1078,0.01035,-3.314,-0.7619220387509813,0.064444,41.1253,3.5919,18.65,6.32,0.117,evening,overcast
street_level,False,LIS,42.9,1007.563,0.0072,0.013177,-0.371,-0.5859511220960485,0.083753,30.6015,0.256,12.03,6.97,0.13,afternoon,rain
street_level,False,OPO,21.9,1011.469,0.0099,0.035335,0.673,0.8262486315352362,0.05126,48.2156,5.776,28.46,4.71,0.047,morning,rain
above,False,LIS,12.8,1012.646,-0.092,0.102235,3.883,0.9206870063638917,0.059838,57.1545,0.5862,49.2,29.46,0.612,afternoon,rain
underground,False,LIS,89.1,1001.716,-0.1114,0.077594,-1.083,-0.9682296958803818,0.249566,88.8442,-1.4274,,17.33,0.988,evening,rain
underground,False,LIS,12.0,1011.827,-0.0787,0.164771,-2.883,0.006461319296590773,0.360753,99.766,-7.3117,125.61,76.07,0.825,morning,overcast
underground,False,LIS,26.3,1013.362,-0.1228,0.162298,-7.166,3.2422694975168724,0.405008,114.6691,2.5775,50.69,48.6,0.985,evening,clear
street_level,False,OPO,36.5,1008.082,0.234,0.024104,0.652,-0.8263138212588501,0.03995,49.8408,-0.6092,7.63,3.09,0.016,afternoon,clear
street_level,False,LIS,6.5,1015.83,0.2506,0.006826,2.75,3.354542049119118,0.009831,39.5281,-4.2993,10.4,4.04,0.03,morning,overcast
above,False,OPO,108.6,999.353,0.0778,0.013023,4.343,-1.033590644955666,0.155645,37.8102,3.5637,18.88,4.88,0.19,morning,overcast
street_level,False,OPO,74.3,1004.808,-0.2621,0.036607,2.481,0.3763993167769968,0.070382,59.7417,0.6292,4.76,3.32,0.007,evening,clear
above,False,OPO,110.8,998.842,-0.0646,0.105843,2.813,-1.2857005616564265,0.006107,47.6149,0.369,25.41,10.14,0.333,afternoon,overcast
underground,True,OPO,145.5,996.037,-0.0229,0.008696,-3.369,-0.01614883955755886,0.022426,37.6092,4.7287,8.68,4.76,0.026,evening,clear
above,False,OPO,12.9,1011.725,0.1244,0.055118,0.423,0.011589587089815723,0.157683,43.0688,1.2978,23.13,4.86,0.103,afternoon,clear
underground,False,OPO,1.2,1013.689,-0.1927,0.080412,-3.511,0.582036961859103,0.541467,104.776,-3.6698,97.04,10.96,0.86,afternoon,clear
street_level,False,OPO,135.2,998.193,0.1308,0.040042,-0.353,0.932137524897712,0.036106,50.4687,-2.9824,6.18,2.89,0.014,morning,rain
underground,False,LIS,3.1,1014.203,-0.1011,0.095504,-3.501,1.3224708571013934,0.285725,102.581,-10.3504,179.02,17.69,0.986,night,overcast
underground,False,OPO,124.8,1000.858,-0.1534,0.125153,-7.646,2.3762127620919955,0.408594,119.4483,-6.0648,29.69,24.33,0.906,evening,clear
street_level,False,LIS,98.1,1001.729,-0.1101,0.011312,-1.406,0.10587409912488965,0.026421,52.7886,3.7084,15.04,7.61,0.016,evening,rain
underground,False,OPO,136.8,996.346,0.2709,0.086881,-2.993,-0.7271604499694604,0.427882,71.5115,-7.7105,149.16,17.15,0.822,afternoon,rain
street_level,False,OPO,11.0,1014.596,-0.0571,0.03255,-1.83,2.656416606370726,0.047713,41.392,3.2868,16.48,14.51,0.06,evening,clear
street_level,False,OPO,34.8,1010.889,-0.0993,0.010617,1.82,1.778884336465353,0.062835,37.0907,-1.9849,9.08,3.4,0.026,morning,overcast
street_level,False,LIS,78.8,1003.251,,0.012426,-0.521,-0.6489835115880851,0.0292,70.177,-2.8105,8.26,2.57,0.043,afternoon,rain
street_level,False,LIS,40.5,1007.206,0.141,0.018404,1.271,-1.2276451337938852,0.020879,46.9098,-1.9577,4.46,0.46,0.0,morning,overcast
underground,False,OPO,142.3,999.928,-0.142,0.088051,-2.856,3.4997958513685035,0.35129,123.8723,-4.6809,60.32,76.2,0.894,evening,clear
street_level,False,LIS,17.8,1009.788,-0.05,0.020989,0.173,-1.342355461246143,0.013135,44.7696,3.1313,1.8,3.14,0.0,afternoon,rain
underground,False,LIS,24.1,1010.298,-0.0922,0.092142,-1.434,-0.08320709294753215,0.660451,151.2923,0.8707,20.13,35.69,0.873,afternoon,overcast
underground,False,OPO,25.3,1008.595,-0.2212,0.062385,-5.482,-1.6435751085582524,0.275989,93.452,-5.89,153.36,74.79,0.878,afternoon,clear
street_level,False,LIS,28.0,1010.521,0.0204,0.023555,1.441,0.6032732425695713,0.025837,37.206,1.4513,8.62,1.79,0.045,evening,clear
street_level,False,OPO,121.9,996.617,0.1456,0.00297,2.727,-2.205503848964895,0.020556,71.8091,0.3889,7.6,3.44,0.02,night,clear
street_level,False,OPO,34.8,1008.881,0.0314,0.004293,1.035,-0.22911566353468515,0.029851,39.8441,5.8364,18.17,13.56,0.062,evening,clear
street_level,False,LIS,27.4,1009.876,0.0922,0.022848,-1.256,-0.11301758367164894,0.062135,36.8569,-0.3734,17.12,10.72,0.096,afternoon,rain
underground,False,LIS,17.7,1012.323,-0.0701,0.064495,-2.38,1.180748817538415,0.013364,112.6119,-9.6909,128.33,39.83,0.863,night,overcast
street_level,False,LIS,37.4,1009.208,0.1325,0.006906,1.167,0.4065061096378031,0.044055,42.1689,4.0833,7.27,3.52,0.012,afternoon,clear
street_level,False,OPO,27.9,1009.188,-0.0047,0.003506,1.192,-0.7416082123418164,0.046085,38.0912,4.761,5.69,3.58,0.029,afternoon,clear
above,False,OPO,21.1,1008.582,-0.1737,0.034319,5.878,-2.155875162584266,0.139571,39.6044,0.364,37.47,36.67,0.319,afternoon,rain
street_level,False,OPO,35.8,1010.451,0.0485,0.009675,0.882,1.4595961904151409,0.02929,46.7032,-0.0243,30.69,8.16,0.0,afternoon,clear
underground,False,OPO,117.6,1000.535,0.1964,0.099825,-1.653,1.2070816432558331,0.018254,83.4815,15.8083,82.58,51.54,0.949,night,clear
underground,False,OPO,27.7,1008.201,-0.1418,0.08859,-2.383,-1.7523715415142078,0.392678,76.3094,7.1731,112.97,79.85,0.81,evening,clear
above,False,OPO,22.6,1009.77,0.2112,0.080195,0.741,-0.7895253924098142,0.046816,59.9525,-2.872,14.32,8.71,0.242,morning,rain
street_level,False,LIS,8.9,1012.347,0.0677,0.006713,1.093,0.15737711745543947,0.082822,45.7966,-0.5547,19.48,8.81,0.018,evening,rain
underground,False,LIS,8.7,1011.486,-0.2342,0.036945,-3.616,-0.7274393891583486,0.362193,119.8347,-0.9112,133.45,26.85,0.911,afternoon,clear
underground,False,OPO,14.5,1013.722,-0.1209,0.142062,-1.755,2.1990118358052086,0.514491,64.2482,-10.7802,114.78,48.91,0.918,morning,rain
above,False,OPO,149.7,995.433,0.1552,0.071653,0.971,-0.12810297559087758,0.119923,66.4038,6.2168,12.39,12.89,0.177,afternoon,rain
underground,False,LIS,18.5,1011.277,-0.2115,0.109078,-2.786,0.2299106687866015,0.441488,69.4522,-33.6055,142.84,16.94,0.956,afternoon,clear
underground,False,LIS,102.6,1000.341,-0.059,0.085755,-0.752,-0.7519951753251917,0.333704,132.8449,3.6022,178.98,15.32,0.852,evening,clear
underground,False,OPO,64.7,1007.775,-0.1643,0.058577,-5.937,2.208341597005756,0.476374,77.0056,21.3618,30.5,35.55,0.888,morning,overcast
street_level,False,LIS,30.3,1010.285,0.0354,0.002375,-0.29,0.6405081293050898,0.037062,46.5471,-4.0271,8.09,3.46,0.023,afternoon,overcast
underground,False,LIS,18.8,1012.206,-0.1579,0.076074,-5.355,1.194594053993569,0.518143,97.7269,-1.251,195.07,44.26,0.957,evening,clear
street_level,False,LIS,94.7,1003.253,0.0919,0.028419,-1.473,1.2291447082293416,0.004825,54.9402,-3.4338,4.08,3.94,0.022,afternoon,clear
street_level,False,LIS,41.1,1007.135,-0.0862,0.004621,0.593,-1.2274640946741329,0.051317,36.2128,7.2869,16.17,13.18,0.08,evening,clear
street_level,False,LIS,16.6,1012.236,-0.0889,0.014216,0.55,0.9628866470745834,0.005224,36.9827,-1.7861,27.32,11.39,0.029,morning,clear
street_level,False,OPO,35.2,1009.624,0.3436,0.00822,4.034,0.5613707539839652,0.003164,47.8175,-4.0875,14.4,3.4,0.025,morning,clear
underground,False,LIS,69.2,1007.389,-0.0554,0.11971,-1.274,2.3545595225140232,0.373947,118.8238,14.7538,103.66,28.1,0.969,morning,rain
underground,False,LIS,101.6,1001.674,-0.2694,0.079667,-3.54,0.4632222499326417,0.134534,79.7432,1.9305,131.81,26.17,0.842,night,rain
street_level,False,OPO,91.6,1005.121,0.005,0.013207,-1.21,2.731634066057154,0.045702,70.2532,7.983,5.48,1.09,0.011,afternoon,overcast
underground,False,LIS,69.5,1004.693,0.0899,0.095912,-1.726,-0.305969299670096,0.541989,98.7323,10.2337,81.4,20.66,0.87,evening,clear
above,False,OPO,37.6,1009.145,0.0757,0.020031,5.916,0.36724233612574153,0.113005,41.6029,0.1758,25.26,5.74,0.228,morning,rain
underground,False,OPO,3.3,1015.123,-0.0152,0.018784,-6.621,2.266303059760048,0.403705,77.2835,8.8131,91.17,9.16,0.885,afternoon,clear
underground,False,LIS,70.6,1007.34,-0.0934,0.074142,-2.569,2.4710809752752994,0.928545,169.3956,9.6356,85.35,23.8,0.852,afternoon,overcast
underground,False,LIS,94.3,1002.864,-0.1346,0.049761,-5.916,0.7929895349261642,0.293379,103.695,2.7673,67.27,25.16,0.89,evening,rain
above,False,OPO,39.4,1006.458,-0.121,0.040253,3.695,-2.1061567560868752,0.054167,39.2322,3.0696,22.22,15.61,0.198,night,rain
above,False,OPO,9.4,1010.57,0.0418,0.095848,3.623,-1.5600840676513599,0.105225,53.2827,1.6017,19.63,12.6,0.283,evening,clear
street_level,False,LIS,1.0,1012.374,0.1511,0.002045,-0.138,-0.7568011294828239,0.021258,33.5294,0.0815,7.44,1.6,0.033,night,rain
above,False,OPO,35.1,1005.069,0.0441,0.010649,6.443,-4.005500640897594,0.274957,55.4581,5.2759,36.99,5.27,0.693,morning,rain
underground,False,LIS,10.5,1013.136,-0.0925,0.040251,-6.06,1.136888997729102,0.302142,64.4783,18.0187,24.71,49.23,0.954,afternoon,rain
above,True,OPO,30.2,1008.436,0.1801,0.037799,-0.37,-1.2203701110593101,0.727998,147.6565,10.3531,102.7,18.03,0.915,morning,overcast
street_level,False,LIS,105.5,1000.302,0.0699,0.027562,1.351,-0.4495040581801959,0.071856,40.4117,-1.922,19.36,3.11,0.0,morning,clear
above,False,LIS,100.1,1000.2,0.2493,0.018895,5.416,-1.1874775956686108,0.164435,52.414,7.1462,11.01,2.98,0.267,afternoon,rain
street_level,False,LIS,93.8,1000.612,0.1107,0.030754,1.032,-1.517957552351504,0.075941,35.7623,0.6857,27.82,9.87,0.027,morning,clear
street_level,False,LIS,3.3,1012.545,-0.1598,0.030563,2.911,-0.31169694024004,0.014617,33.8211,-0.6833,9.94,1.97,0.0,afternoon,overcast
street_level,False,OPO,21.9,1009.548,-0.0229,0.001336,-1.436,-1.094751368464813,0.000975,34.238,-1.2641,4.17,1.96,0.001,morning,overcast
above,False,OPO,19.3,1011.146,0.0734,0.071479,1.717,0.1940635640464734,0.18746,42.0903,0.6859,36.78,25.21,0.318,afternoon,overcast
street_level,False,LIS,88.6,1001.729,-0.3181,0.043598,1.336,-1.0142128559383536,0.033715,36.9876,-0.5885,21.69,4.02,0.133,afternoon,clear
street_level,False,LIS,112.6,999.023,0.14,0.015741,0.63,-0.8929312367279181,0.081476,42.3167,3.0407,7.64,1.24,0.033,morning,overcast
underground,False,OPO,21.1,1011.071,-0.3083,0.159892,-0.885,0.3331248374157667,0.225528,64.306,7.5301,152.97,63.29,0.875,afternoon,rain
street_level,False,LIS,41.6,1009.71,0.0217,0.009132,-0.536,1.4068495998527624,0.057235,38.2745,5.9981,9.28,10.26,0.122,night,clear
street_level,False,OPO,45.6,1008.086,0.1739,0.013445,0.006,0.2572335715284453,0.079204,59.1222,-3.3109,11.52,0.61,0.018,afternoon,clear
underground,False,LIS,105.4,1002.585,-0.2234,0.15422,-2.88,1.8217223254569035,0.619588,142.6027,-9.0453,97.32,13.85,0.845,morning,overcast
street_level,False,LIS,14.5,1011.194,0.2845,0.016411,-2.135,-0.32898816419481136,0.014068,34.1361,0.5118,19.76,4.79,0.049,morning,overcast
street_level,False,LIS,111.3,998.698,0.0482,0.014825,-0.316,-1.370871250737764,0.003322,,1.4397,8.49,1.56,0.0,evening,overcast
street_level,False,OPO,7.1,1014.123,0.0891,0.007195,-1.92,1.719008382603647,0.040937,39.7664,0.4439,5.91,1.88,0.039,morning,clear
above,False,OPO,16.1,1008.419,0.1158,0.055347,4.313,-2.913601756293815,0.041322,34.4627,-5.2753,39.41,24.05,0.376,morning,clear
street_level,False,LIS,26.0,1010.257,0.1591,0.02347,-0.578,0.1016175837631863,0.047677,38.754,0.1487,13.73,14.23,0.017,morning,clear
