label,city,latitude,longitude,gnss_accuracy_mean,gnss_accuracy_delta,gnss_lost_ratio,pressure_hpa,pressure_delta,pressure_variance,altitude_delta,magnetic_field_mean,magnetic_field_delta,magnetic_variance,window_duration_s
street_level,Espinho,41.00663,-8.64335,18.16401,0.0,0.0,1012.21247,-0.12518,0.0,-2.65797,29.08826,-4.89487,12.2113,3.0
underground,Vila nova de Gaia,41.12059,-8.60619,37.64619,72.42764,0.144,1004.38053,-0.63353,0.20519,-5.59917,19.46124,45.31769,0.0,62.61161
street_level,Matosinhos,41.17337,-8.68611,19.94913,11.86229,0.05286,1014.91154,0.59228,0.00428,0.33399,40.25198,-2.64981,4.30138,22.14976
street_level,Arouca,40.93129,-8.24754,14.74273,11.06408,0.0099,1009.87333,0.01579,0.00514,3.28991,45.93061,-3.24687,0.0,3.0
underground,Maia,41.20176,-8.55778,40.41056,28.99395,0.09091,1003.22745,-0.66272,0.3238,-4.83493,27.88284,23.34479,14.80924,90.15684
street_level,Oeiras,38.71439,-9.23718,10.65562,5.65929,0.0,1002.65212,0.22091,0.0,-2.38285,17.87641,-0.38419,0.0,34.67305
street_level,Oeiras,38.6996,-9.23245,6.12254,5.73347,0.0,995.54536,0.11237,0.00889,-0.33703,45.28375,6.04106,0.0,16.83785
street_level,Arouca,40.93071,-8.24533,6.50022,17.37236,0.0,1003.19046,0.49887,0.00417,4.41314,41.01848,-0.67027,14.06959,96.61877
street_level,Porto,41.14624,-8.60505,9.19934,0.0,0.0,998.62066,-0.43864,0.01974,-3.99012,21.33544,7.29688,2.31349,3.0
street_level,Vila nova de Gaia,41.1373,-8.61496,12.00382,0.57962,0.0,998.55865,0.19504,0.0,-2.73797,64.31263,-3.10432,7.1331,3.0
underground,Arouca,40.93223,-8.24634,34.62005,104.74315,0.12499,1005.14801,-0.49324,0.02571,-3.3786,54.36489,-6.77624,308.6814,3.0
above,Matosinhos,41.17153,-8.68772,80.65514,93.31364,0.0,1006.83042,0.84789,0.0,5.78259,45.89595,-14.10705,148.80276,134.09044
street_level,Maia,41.20387,-8.55875,9.02625,4.82227,0.0,997.58831,-0.00344,0.00697,-0.12164,64.53181,-1.51204,0.0,50.07504
street_level,Porto,41.15552,-8.62446,3.94413,12.3215,0.00209,1006.63946,0.32423,0.00622,5.72294,37.53204,-1.2886,20.75711,108.74701
underground,Matosinhos,41.17699,-8.68124,34.81392,18.1799,0.23003,1003.6774,-0.46295,0.1747,-4.85034,29.98686,28.51221,26.13919,102.41839
street_level,Oeiras,38.68477,-9.3162,13.04304,2.63941,0.0,1000.32655,-0.21628,0.0,-4.51693,23.09534,6.84834,3.78362,29.86358
underground,Matosinhos,41.17719,-8.68097,44.59884,32.13659,0.0,1001.62349,-0.59464,0.03646,-7.1026,22.9628,14.61251,206.49917,67.24357
underground,Porto,41.16452,-8.63429,33.64373,55.35754,0.23718,1006.83645,-0.49385,0.0,-2.99036,36.47183,0.8792,479.23953,3.0
street_level,Matosinhos,41.17252,-8.68085,16.1393,0.0,0.0,1002.40703,0.46106,0.01447,-2.74137,56.92169,-5.85095,15.14079,3.0
street_level,Oeiras,38.69755,-9.30014,8.88374,3.15995,0.0,998.64523,0.34827,0.01554,0.96379,71.99201,-1.28128,27.24382,17.36935
above,Espinho,41.00912,-8.64384,59.09316,83.06712,0.0,1005.59834,0.64244,0.02615,2.58428,30.84746,20.18123,239.52187,132.15586
street_level,Maia,41.20204,-8.55762,14.45018,9.29531,0.02251,998.76797,0.29289,0.0,-3.51908,69.8303,3.35058,0.0,3.0
underground,Porto,41.16001,-8.6648,44.88752,111.95886,0.32154,1005.0685,-0.60417,0.26775,-4.48961,19.86224,11.64778,110.01735,120.9484
street_level,Oeiras,38.68088,-9.31717,10.8603,2.08309,0.0,998.09081,-0.39964,0.0,-1.27711,67.07916,-2.05483,10.75291,3.0
underground,Matosinhos,41.17264,-8.68101,29.89128,81.557,0.27166,1007.02403,-0.68689,0.24386,-5.70324,21.5834,4.05845,115.2657,26.39627
street_level,Porto,41.16019,-8.66468,5.68096,7.06314,0.0,995.331,-0.15405,0.00638,-1.03288,7.80125,9.86374,19.67098,3.0
street_level,Maia,41.20277,-8.55782,14.40201,14.91028,0.0,1004.8065,-0.08179,0.01206,-4.48714,38.03868,6.50421,2.16708,19.70857
street_level,Porto,41.143,-8.59813,12.76832,0.0,0.02063,995.05309,-0.17557,0.0,0.24398,61.26312,-7.91127,3.16948,18.776
street_level,Arouca,40.92924,-8.24808,8.5615,0.0,0.0,1001.28164,0.2544,0.00093,-0.95373,41.34497,3.46704,8.27476,11.63876
street_level,Porto,41.14616,-8.61389,7.00684,6.55033,0.0,1006.63467,0.7964,0.01524,4.31323,35.74369,0.70699,29.12491,3.0
street_level,Espinho,41.01111,-8.6421,9.35055,0.0,0.01122,1011.09124,-0.15664,0.0,-2.08706,31.8567,-8.44915,0.0,6.09159
underground,Porto,41.16105,-8.60478,33.46679,7.30695,0.24906,1007.67192,-0.32993,0.00921,-4.76045,33.62198,-3.49822,150.32645,3.0
above,Oeiras,38.7119,-9.23452,45.18774,73.55925,0.0,1002.66089,1.81813,0.06687,16.77717,33.9564,-33.01449,72.02326,48.5083
street_level,Arouca,40.93167,-8.24293,4.76363,6.72325,0.0,993.85782,-0.00422,0.0,-1.02951,54.842,-2.86694,0.0,3.0
street_level,Arouca,40.93041,-8.24863,5.67507,10.74311,0.0,1006.33457,0.46279,0.01522,8.31227,46.06529,1.28183,0.0,126.34415
street_level,Maia,41.20201,-8.55762,9.79631,8.68018,0.01685,1000.19156,0.16456,0.00022,0.08243,39.87736,3.34614,0.0,15.72448
street_level,Maia,41.20192,-8.55778,16.67484,8.41384,0.0,997.85289,0.02103,0.01113,-1.54064,35.10419,-6.98459,28.21436,22.08762
street_level,Espinho,41.00848,-8.63823,17.30641,0.1262,0.0,1003.51094,0.33939,0.0,1.50631,45.66846,-4.7953,0.0,3.54301
street_level,Porto,41.18463,-8.60224,10.40801,8.10736,0.01462,1010.27721,-0.19941,0.01276,4.33825,36.08542,-2.36116,0.0,3.0
street_level,Matosinhos,41.17464,-8.68079,10.25534,0.0,0.0,1009.35421,0.64628,0.00303,2.8019,37.14904,-2.70289,20.71593,124.19454
above,Porto,41.1571,-8.60069,31.38158,87.57731,0.0,1004.2848,0.64158,0.21085,14.02815,25.15164,-9.20852,128.96357,3.0
underground,Maia,41.20402,-8.5586,25.19237,67.36491,0.0,1003.97428,-0.36025,0.05783,-3.38595,36.3557,-55.61391,391.02278,19.18293
street_level,Oeiras,38.71339,-9.2373,7.59391,0.0,0.0,1004.38191,1.13163,0.0,7.17666,31.33514,0.96885,21.18264,54.1123
street_level,Arouca,40.93111,-8.24657,8.86694,0.0,0.01146,999.48932,-0.26285,0.0,4.01905,35.55107,8.58927,0.0,3.0
street_level,Porto,41.16914,-8.63705,11.04186,0.0,0.0,1005.07588,-0.05287,0.0,2.13378,56.21951,4.50335,4.08708,4.54397
street_level,Arouca,40.92953,-8.2475,14.87899,5.87119,0.0,1004.96073,0.11603,0.0,-1.50211,18.70976,-1.76095,27.65317,3.0
street_level,Porto,41.16029,-8.62239,11.71839,0.0,0.0058,995.85042,-0.36245,0.01236,-0.66341,72.05772,-3.21161,0.0,3.0
street_level,Oeiras,38.69877,-9.30003,6.51308,2.5108,0.0,1005.34794,0.49154,0.00882,3.98316,42.35127,2.15178,0.0,51.93648
street_level,Oeiras,38.71081,-9.22597,8.88607,0.0,0.01953,996.60356,0.8838,0.00298,7.11412,37.72594,3.99053,1.07097,68.40513
street_level,Porto,41.1533,-8.58206,14.26865,0.0,0.002,998.07069,-0.09423,0.0,-1.7934,66.67788,-3.78252,16.5144,19.78666
street_level,Maia,41.20401,-8.55873,9.04098,6.16209,0.00475,1000.72466,0.39109,0.00986,7.22719,26.27145,2.84992,0.0,62.37632
underground,Matosinhos,41.16841,-8.68801,50.22714,39.41552,0.5301,1002.21178,-0.52092,0.15736,-4.29956,37.10789,5.96781,69.93142,106.81977
street_level,Maia,41.20401,-8.55851,8.88574,5.94939,0.0121,1001.02033,0.758,0.00915,5.7375,36.44911,1.21939,0.0,37.48385
street_level,Arouca,40.93075,-8.24721,6.46588,9.03561,0.0,1003.45267,0.61483,0.0,6.79538,50.51725,-0.61951,8.94172,56.53673
underground,Espinho,41.00477,-8.63889,34.78489,57.33691,0.36294,1003.04366,-0.65331,0.20576,-5.1024,9.08204,1.3122,19.52081,156.27153
underground,Maia,41.20321,-8.55896,43.00985,2.79543,0.13373,1002.96342,-0.5512,0.05879,-5.18502,36.52343,39.78584,144.64363,220.32701
above,Matosinhos,41.17537,-8.68115,82.32308,83.1729,0.01847,1007.43968,0.60619,0.06119,10.6412,43.8005,5.77724,68.39767,135.45081
street_level,Maia,41.20232,-8.55961,11.3694,0.0,0.0,1004.67423,0.17104,0.00541,-2.40417,47.42305,4.00953,7.93595,25.29768
above,Espinho,41.0091,-8.63952,51.02258,81.70287,0.00429,1002.20417,1.58549,0.22922,6.88676,23.88286,-2.18752,117.60797,55.36904
underground,Espinho,41.00669,-8.63619,29.92173,22.51826,0.0,1008.49258,-0.30812,0.0,-4.07143,37.69008,-37.9472,323.42586,48.44155
street_level,Oeiras,38.6997,-9.27509,2.89174,2.297,0.02138,998.97052,-0.25072,0.0,-1.94087,55.47242,-0.94583,0.0,15.62816
street_level,Espinho,41.00809,-8.64006,18.19267,0.0,0.0,999.70679,0.29373,0.0,1.9629,36.20609,0.47765,0.0,14.34598
street_level,Matosinhos,41.17511,-8.68163,7.86703,0.0,0.02852,999.67062,-0.24503,0.0,-4.26047,43.772,3.00668,37.45982,21.56184
street_level,Espinho,41.00947,-8.64408,9.97156,0.0,0.0162,1002.39294,0.62431,0.02603,-0.51795,60.28899,-2.00403,0.0,3.0
underground,Espinho,41.0108,-8.63817,22.86372,50.84316,0.0,1007.79841,-0.40783,0.05084,-3.64776,39.24313,-56.28615,456.81338,3.0
underground,Maia,41.20192,-8.55795,29.01108,59.65509,0.09806,1010.72404,-0.49416,0.02673,-4.21547,39.51874,-69.44389,161.18213,70.93407
above,Oeiras,38.70024,-9.3027,49.63114,92.16113,0.0,1002.90739,1.37013,0.2227,10.68865,41.51915,14.83191,91.90266,109.1466
underground,Matosinhos,41.17319,-8.68245,42.00283,53.08928,0.01099,1002.50048,-0.64561,0.22685,-5.33541,39.06537,5.50444,207.90637,171.48147
street_level,Matosinhos,41.17714,-8.68354,16.14625,6.97617,0.0414,1010.77068,-0.13931,0.0,3.8676,44.68239,-2.71717,0.0,3.0
street_level,Matosinhos,41.17399,-8.68077,13.04287,8.68748,0.00208,1007.83979,-0.24669,0.00518,-1.75987,39.44409,-9.51139,1.43127,29.97995
street_level,Maia,41.20331,-8.55905,6.26151,13.38822,0.0,1004.05305,0.71381,0.00462,6.692,39.3135,2.23373,0.0,37.63202
underground,Oeiras,38.71182,-9.23038,40.12173,19.88898,0.27772,1004.62587,-0.50907,0.24292,-5.09798,38.63793,59.30507,242.8333,85.39393
street_level,Porto,41.17493,-8.5991,7.07033,0.0,0.0,993.71436,-0.35791,0.00715,-0.79751,49.43115,-2.08308,0.0,26.05491
street_level,Porto,41.14138,-8.61677,21.32243,0.0,0.0,1004.97493,-0.0015,0.0091,2.97269,35.996,-5.60579,11.78134,3.0
street_level,Maia,41.20299,-8.5578,6.71518,0.0,0.0,1000.94254,-0.02714,0.0,-3.45176,75.92416,0.89395,0.0,15.52866
street_level,Espinho,41.00667,-8.64401,7.85472,1.5994,0.0,1003.39941,-0.19429,0.00467,-0.33489,22.58108,4.42198,7.91749,3.0
underground,Matosinhos,41.17607,-8.68322,35.81438,68.44261,0.05439,1006.56568,-0.24711,0.0,-4.06499,43.8012,-34.57682,358.04323,15.76519
underground,Vila nova de Gaia,41.13655,-8.61824,33.16299,110.60506,0.20637,1007.21826,-0.4245,0.07601,-2.63535,30.54016,-46.95939,214.79335,8.21382
above,Oeiras,38.68288,-9.32291,70.73086,83.08018,0.00761,1006.81589,0.7909,0.10553,5.86151,35.72504,24.02347,307.26674,86.5652
underground,Porto,41.16044,-8.58455,17.32314,68.47952,0.0,1006.64197,-0.58453,0.02351,-3.55361,30.39155,-71.21477,350.50435,36.20949
street_level,Maia,41.20209,-8.55771,14.53085,0.0,0.00241,1009.00696,-0.14716,0.02342,1.13334,49.43065,0.16402,0.0,3.0
street_level,Maia,41.20212,-8.55864,7.61304,8.81189,0.01318,1005.1159,0.97663,0.01669,4.83588,47.09725,-0.1561,0.0,34.54006
street_level,Arouca,40.93182,-8.24302,4.5115,18.62351,0.0,1003.19712,0.37329,0.02981,4.15896,31.12549,-0.3333,2.40423,54.51153
street_level,Espinho,41.00793,-8.64133,12.03162,0.0,0.0,1002.71131,0.01996,0.0,0.88615,28.67307,-4.36073,0.0,21.70042
underground,Vila nova de Gaia,41.1196,-8.61082,24.70427,87.70065,0.05672,1006.37841,-0.39052,0.01085,-1.97189,28.38682,-50.6428,304.42944,12.00367
street_level,Maia,41.20376,-8.55901,2.81586,5.25879,0.0,997.41072,-0.04575,0.0,2.42783,43.80954,-1.26832,0.0,3.0
street_level,Porto,41.17383,-8.59702,9.29861,0.0,0.02681,1001.55806,0.1574,0.0,3.66102,46.73958,5.2113,33.94284,16.68857
street_level,Arouca,40.93104,-8.24462,11.9558,5.52577,0.01286,1003.45649,0.0455,0.0,-1.80658,56.01789,-2.27013,0.0,6.93689
underground,Vila nova de Gaia,41.11732,-8.61058,49.22772,33.04333,0.45427,1003.97047,-0.54801,0.31555,-4.60711,30.16372,-13.97525,315.91655,76.87419
street_level,Espinho,41.00389,-8.63801,14.67914,0.0,0.02086,1011.9028,0.18852,0.0,2.02752,36.96314,-5.60401,0.0,3.0
street_level,Vila nova de Gaia,41.12991,-8.61266,12.41445,13.82076,0.0235,1006.47736,-0.2474,0.02322,-0.34833,33.21564,5.4991,0.0,21.40455
street_level,Oeiras,38.72514,-9.24151,5.28313,0.0,0.0,997.7771,-0.03209,0.0,1.34638,54.12374,1.66342,0.0,3.0
underground,Porto,41.15399,-8.59769,29.03996,86.5155,0.02427,1004.82719,-0.68636,0.12641,-5.06233,28.63254,16.60035,151.76274,3.0
underground,Espinho,41.00586,-8.64096,32.45162,98.43133,0.26993,1002.43094,-0.57829,0.15718,-4.4762,9.17278,1.88825,198.67996,125.7943
street_level,Matosinhos,41.1737,-8.68889,10.44185,0.0,0.04919,1011.38989,0.0768,0.0,-4.84944,37.68897,-2.95375,0.0,3.0
underground,Arouca,40.93085,-8.24736,47.20029,0.0,0.09869,1003.03959,-0.46266,0.1612,-4.48111,26.63472,21.88739,298.90586,157.34
street_level,Porto,41.16465,-8.60207,9.65912,2.18009,0.0,1000.49895,0.28152,0.0,1.00884,37.76793,1.9917,10.65534,41.0156
street_level,Espinho,41.00709,-8.64388,11.40285,0.0,0.0106,1006.93412,-0.10158,0.0,-0.67057,43.43443,-2.15192,8.93156,32.39274
underground,Vila nova de Gaia,41.12897,-8.61683,52.49851,18.62072,0.14757,1000.69813,-0.60892,0.17536,-4.28521,35.64114,53.70251,135.72902,132.85275
street_level,Maia,41.20333,-8.55917,14.27463,1.95971,0.00448,997.66121,-0.72125,0.00361,-1.28252,20.45743,-7.38271,18.52569,13.15843
street_level,Vila nova de Gaia,41.12211,-8.61272,8.01374,0.0,0.0,998.69261,0.12851,0.00834,0.63018,62.83076,-3.15478,8.21412,5.30445
street_level,Matosinhos,41.17196,-8.68038,8.88016,3.26768,0.0,998.8567,-0.29653,0.0,3.32043,37.20745,5.18357,2.39556,24.24779
underground,Matosinhos,41.17323,-8.68585,47.68626,26.88935,0.23084,1001.22014,-0.684,0.26289,-3.62663,22.03428,19.56908,0.0,195.74857
street_level,Porto,41.16368,-8.66452,10.42965,3.15085,0.0,1009.537,0.21887,0.00869,0.59973,43.7291,-0.54567,26.88481,4.22364
street_level,Matosinhos,41.1746,-8.68344,11.58982,0.0,0.03914,1004.51833,-0.00798,0.0,-1.3465,16.40732,4.39829,8.02057,3.0
underground,Vila nova de Gaia,41.13176,-8.61468,36.58331,29.74997,0.22887,1007.5553,-0.35742,0.0,-3.27478,56.30014,-35.87295,327.80693,8.685
above,Vila nova de Gaia,41.12621,-8.60816,38.5233,79.82245,0.0,1003.87149,1.26124,0.1976,9.28097,30.12694,4.08381,119.88118,3.0
above,Oeiras,38.70096,-9.22904,50.5036,83.71677,0.00514,1007.36545,0.70938,0.0,7.63655,39.49054,17.31424,256.39868,50.21102
underground,Maia,41.20401,-8.55887,39.80764,21.59015,0.0,1004.47392,-0.66935,0.14019,-5.71766,35.70205,-6.25469,0.0,134.56401
street_level,Matosinhos,41.17377,-8.68059,10.57111,0.0,0.02266,1004.61202,-0.33525,0.0,-2.84936,22.13327,4.42961,0.0,3.0
street_level,Porto,41.14244,-8.60583,10.67771,1.99552,0.0,1002.03198,0.1298,0.0,0.75213,22.24127,7.60656,36.95346,3.0
street_level,Espinho,41.01078,-8.63811,16.93115,4.1713,0.0074,1001.4016,-0.12536,0.02236,-1.08522,43.28682,-7.75766,19.93087,3.0
underground,Porto,41.1618,-8.62949,15.98771,30.26236,0.0,1005.61844,-0.42212,0.02463,-2.76807,33.03615,-36.68975,244.60489,106.40679
underground,Arouca,40.9313,-8.24277,54.72938,0.0,0.22037,1002.0479,-0.68887,0.0,-5.17189,29.92445,38.74691,270.446,144.01008
street_level,Porto,41.16432,-8.64086,18.05135,0.0,0.00166,1008.70297,0.52392,0.0,0.81364,38.55165,-2.36135,31.37281,3.0
underground,Vila nova de Gaia,41.11396,-8.61172,47.97358,41.5597,0.0,1002.20775,-0.54193,0.26114,-3.91987,23.03363,30.30027,268.84469,140.47024
street_level,Vila nova de Gaia,41.11893,-8.60762,5.07038,0.0,0.0241,996.60721,0.02031,0.0,5.12718,73.02034,4.62749,1.49266,27.35994
underground,Arouca,40.93151,-8.24712,44.23613,43.56275,0.29633,1003.4859,-0.54921,0.09712,-5.27517,36.4167,-13.12787,168.82377,124.30763
underground,Espinho,41.00536,-8.64392,28.31491,62.2596,0.5117,1006.59794,-0.54425,0.11997,-5.08344,28.02825,31.69916,41.94782,118.26595
street_level,Oeiras,38.67733,-9.32192,13.03618,3.03983,0.03023,1006.91646,-0.70726,0.01884,0.92968,14.9473,-1.60245,9.31704,3.0
street_level,Oeiras,38.72662,-9.23477,12.24476,0.95626,0.0,999.37513,-0.07219,0.01259,2.19108,23.31747,6.59225,0.0,22.46378
street_level,Oeiras,38.6869,-9.3118,15.32193,0.0,0.0,1012.04616,-0.75701,0.00409,1.01665,29.79341,-2.17744,10.21886,3.0
street_level,Matosinhos,41.17493,-8.68676,7.92434,0.0,0.0,996.29122,-0.34095,0.00122,-2.80038,32.94981,-1.26059,0.0,3.0
underground,Porto,41.17911,-8.60094,26.22401,137.51235,0.36092,1004.99322,-0.66227,0.08501,-4.60656,27.76505,30.40689,0.0,95.86341
street_level,Maia,41.20202,-8.55784,12.10539,1.17628,0.00934,999.75897,-0.30314,0.0,-3.30486,28.6302,4.13482,0.0,3.0
street_level,Arouca,40.93142,-8.24526,6.39242,9.33812,0.0,1006.15915,0.63475,0.0,8.22376,38.19032,2.72822,24.57065,93.92407
street_level,Porto,41.17838,-8.59713,9.11203,0.0,0.02353,1001.0636,-0.24166,0.02419,0.12497,43.82566,-2.63791,24.97531,46.60966
street_level,Oeiras,38.71388,-9.23973,10.34519,8.04603,0.0,1001.71481,-0.12781,0.0,-2.06884,38.67495,3.57004,18.02063,24.40404
underground,Maia,41.20263,-8.5594,33.90254,58.18933,0.27879,1005.14108,-0.71893,0.09215,-6.35987,19.65724,-6.37909,36.46199,58.97534
street_level,Espinho,41.00825,-8.63975,9.37177,0.0,0.00149,993.73514,-0.18404,0.0,0.23544,43.19009,-1.8442,40.98129,3.0
underground,Espinho,41.00723,-8.64415,26.172,46.09332,0.0,1005.91076,-0.42068,0.01573,-3.85769,44.03469,-60.11853,236.12855,3.0
street_level,Vila nova de Gaia,41.11721,-8.60813,16.09145,0.0,0.00362,1008.1608,0.36584,0.01249,-2.6724,49.7365,-3.45184,0.0,9.49395
underground,Oeiras,38.69937,-9.23227,40.46025,43.60697,0.0,1004.80856,-0.49337,0.06056,-4.071,42.99203,-58.26916,318.40447,15.03637
street_level,Arouca,40.92897,-8.24793,6.06069,3.21391,0.0,1007.95248,1.00376,0.0,3.67411,24.55463,4.79304,19.61068,59.58361
street_level,Vila nova de Gaia,41.13253,-8.61491,5.56103,0.0,0.01319,1000.04706,-0.13553,0.0,-5.1671,37.60579,3.46451,0.0,3.0
street_level,Maia,41.2019,-8.55784,10.4848,0.0,0.0,1000.96256,-0.61293,0.0,-3.98818,31.23311,-1.74565,1.49966,21.36726
street_level,Oeiras,38.71528,-9.24009,11.04571,8.07906,0.02183,1001.64979,0.17274,0.0,1.96646,28.10246,-2.20496,23.06153,3.0
underground,Porto,41.16257,-8.63856,37.81565,71.22575,0.04223,1002.36318,-0.3585,0.20053,-5.41835,33.54339,23.33787,190.8132,179.30082
street_level,Matosinhos,41.17352,-8.68388,13.30789,0.0,0.00239,1014.26429,-0.08224,0.00078,-2.08015,44.47503,1.52765,29.0494,9.63671
underground,Arouca,40.93222,-8.24454,32.07758,30.43812,0.09613,1006.37944,-0.47932,0.0,-4.57252,43.03984,-47.90629,185.50418,41.03615
underground,Matosinhos,41.17168,-8.67883,19.58267,37.49484,0.33366,1002.58745,-0.59421,0.15868,-5.82497,40.71361,6.40283,0.0,104.53928
street_level,Vila nova de Gaia,41.13365,-8.6091,11.29633,0.0,0.0,1005.75228,-0.3063,0.00163,-1.33187,26.165,-6.78156,0.0,18.83183
underground,Arouca,40.92924,-8.24625,20.0963,107.92259,0.00665,1007.71098,-0.43838,0.14983,-4.58718,37.38122,-17.58135,274.76562,3.0
street_level,Espinho,41.00591,-8.63711,18.20733,2.77012,0.0,1007.86071,-0.08692,0.01038,-2.10977,40.80112,-1.7327,0.0,41.20654
underground,Arouca,40.93197,-8.24731,24.96602,77.51398,0.04386,1007.25724,-0.54059,0.0,-5.06958,46.98045,1.59377,352.8722,29.97966
underground,Espinho,41.01171,-8.64149,26.79357,44.21318,0.0,1004.24302,-0.4872,0.00874,-2.71339,48.7895,-39.29391,122.67925,31.21365
street_level,Maia,41.20403,-8.55878,11.53374,6.24323,0.0,999.33398,-0.09733,0.01281,-1.07039,41.44499,3.62149,0.0,3.0
street_level,Maia,41.20407,-8.55872,11.9613,0.0,0.0,1003.09039,-0.4322,0.00038,0.34614,47.66495,-8.80086,0.0,32.4396
street_level,Oeiras,38.71727,-9.22182,8.92774,0.0,0.0,995.8739,0.2801,0.01237,2.06152,37.2341,6.15718,0.0,3.0
street_level,Porto,41.17496,-8.60626,8.2182,6.44103,0.0,1006.21088,0.52298,0.01169,6.3332,32.65913,3.92706,4.23728,65.73106
underground,Oeiras,38.71369,-9.22254,34.05122,84.6908,0.25862,1004.39041,-0.47223,0.22496,-5.62941,29.17535,11.26043,180.72397,113.48839
street_level,Porto,41.16309,-8.66511,6.52958,0.0,0.0,996.49627,-0.1816,0.0,-1.07,58.22397,-1.3655,3.65723,41.98008
street_level,Vila nova de Gaia,41.12561,-8.61322,10.03506,0.0,0.00664,1002.12445,0.07513,0.01027,-4.65169,49.84544,3.27187,8.55497,47.14496
street_level,Vila nova de Gaia,41.12089,-8.61101,9.95663,10.91878,0.0,1004.30794,-0.72973,0.01205,-0.10909,31.25169,1.26375,19.32132,13.29662
above,Porto,41.15903,-8.62884,65.99583,90.0843,0.01552,1004.47831,0.62937,0.09733,10.79511,64.06676,-1.9928,199.59148,17.78884
underground,Arouca,40.92912,-8.24607,28.84263,94.541,0.19419,1006.34903,-0.32478,0.03254,-4.19668,41.87832,-3.59686,413.75525,3.0
street_level,Porto,41.14796,-8.61204,12.12116,4.41491,0.0,1003.80459,-0.42441,0.00441,3.096,32.90065,-0.45442,0.0,33.1222
above,Maia,41.2034,-8.55928,58.72803,88.96082,0.00658,1005.70749,0.69571,0.0,5.37082,48.35124,10.41163,331.84244,90.41179
street_level,Oeiras,38.67666,-9.3214,15.26025,1.3478,0.01695,1007.82215,0.04164,0.0,0.60385,40.50751,-3.39127,8.06776,3.0
street_level,Maia,41.20399,-8.55891,11.02459,0.0,0.03253,1001.2244,-0.22309,0.0149,-1.67179,74.53749,0.59142,9.11439,5.70572
above,Vila nova de Gaia,41.12531,-8.60589,62.98064,83.19671,0.0,1005.19252,0.70181,0.05713,1.59986,36.55747,7.06594,321.83194,37.83142
street_level,Espinho,41.00451,-8.64384,19.76283,6.80099,0.0,1008.37738,0.10766,0.0,-3.91234,38.84816,-2.13745,0.0,13.8458
street_level,Espinho,41.00955,-8.64343,11.58022,0.22655,0.02212,1004.27936,-0.26258,0.0,-2.42049,14.35948,6.64248,18.26613,3.0
street_level,Arouca,40.93055,-8.24603,6.99433,11.20688,0.0,992.14529,0.10755,0.0,-1.92526,61.01508,-1.50874,9.75275,3.0
street_level,Matosinhos,41.16763,-8.68898,14.2038,10.11174,0.02201,1004.40139,-0.24372,0.01788,0.49172,19.58399,-2.69225,20.22123,3.0
street_level,Espinho,41.0059,-8.63724,13.97992,0.0,0.0,1004.40663,0.02838,0.01889,-2.08363,28.61374,-12.85492,0.0,3.0
underground,Vila nova de Gaia,41.13387,-8.60891,22.87596,67.99564,0.0,1005.98772,-0.44722,0.07317,-3.73755,47.72013,-52.1268,268.03259,3.0
street_level,Maia,41.20194,-8.55762,8.41249,4.80081,0.0,1000.46618,0.33552,0.01053,-0.15833,56.78659,2.21606,12.16636,22.10147
underground,Maia,41.20258,-8.55951,38.5937,151.64858,0.30457,1003.73086,-0.74003,0.14799,-5.29874,23.56354,32.06618,148.78824,143.37661
above,Espinho,41.01055,-8.64324,68.7552,94.24664,0.0,1006.92213,1.38584,0.07698,5.94824,52.5262,-9.80544,152.29651,81.10122
street_level,Matosinhos,41.1738,-8.68873,11.75609,4.30425,0.0,994.69176,-0.29188,0.00193,0.78403,8.46368,4.9103,6.53043,3.0
underground,Matosinhos,41.17528,-8.68649,27.23658,101.54753,0.05377,1004.11614,-0.33834,0.08745,-4.96979,47.40199,-12.04791,81.51998,3.0
above,Espinho,41.01173,-8.64011,61.22517,91.90956,0.0114,1006.87057,0.65407,0.04242,6.8617,50.26711,14.85259,358.54138,120.60075
street_level,Matosinhos,41.17138,-8.6875,7.73119,0.0,0.03397,1004.58195,-0.05578,0.00899,4.43812,67.16401,-1.03963,0.0,3.0
street_level,Arouca,40.93154,-8.24695,9.46237,0.0,0.0,1002.4083,0.02986,0.01138,0.25723,30.90902,-9.60564,0.0,12.0727
underground,Oeiras,38.69748,-9.28365,32.24517,96.27054,0.20602,1004.20536,-0.5839,0.0,-4.46261,15.36392,9.03864,233.28118,89.08877
street_level,Espinho,41.00716,-8.63837,19.16394,5.03047,0.0,999.78228,-0.37168,0.0,0.83774,38.05512,-4.41662,8.61831,3.0
above,Arouca,40.92923,-8.24778,32.65699,82.695,0.0,1003.56502,0.66479,0.0694,6.12089,35.92068,5.83347,95.79259,58.18257
above,Porto,41.14267,-8.61993,34.59178,88.5302,0.0,1002.64115,1.44959,0.18184,12.85487,22.94644,-9.20734,153.17077,19.00535
street_level,Oeiras,38.68547,-9.3246,10.71396,0.0,0.0,1001.82531,-0.57977,0.00083,-3.39201,36.30911,-3.35835,0.0,3.0
underground,Matosinhos,41.17339,-8.68763,23.23738,61.88015,0.37681,1000.97094,-0.48269,0.15531,-6.19566,24.11158,19.6904,0.0,13.09328
street_level,Porto,41.14518,-8.61099,13.9354,3.39928,0.0,1007.70146,0.49793,0.01289,1.19012,41.21158,-3.76705,0.0,15.42253
